                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3791,                 2.5997,                 1.7667,                0.78263,                0.34126,                0.53866,                0.24767,                  1.517,                 3.5517,                 2.0971,              0.0032911,              0.0032911,              0.0032911
                      2,                 1.2648,                 1.8383,                 1.6404,                0.48675,                0.49139,                0.44917,                0.16138,                 1.9162,                 2.9859,                 2.9249,              0.0066179,              0.0066179,              0.0066179
                      3,                 1.3815,                  1.694,                 1.7329,                0.21857,                 0.3224,                0.15102,                0.04166,                 2.5235,                 2.5423,                 4.2649,              0.0099381,              0.0099381,              0.0099381
                      4,                   1.49,                 1.6741,                 1.8258,                0.48777,                0.48811,                0.43304,                0.15634,                 2.2186,                 2.7211,                 3.1618,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.4468,                 1.6106,                 1.7906,                0.38686,                 0.3429,                0.27596,                 0.1041,                 2.3348,                 2.3189,                 3.1704,              0.0099703,              0.0099703,              0.0099703
                      6,                 1.3863,                 1.5166,                 1.7373,                0.21065,                0.08942,                0.07229,                0.02316,                 2.1742,                 3.3729,                 3.3135,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.3756,                 1.4612,                 1.7207,                0.63563,                0.54524,                0.58075,                0.25643,                 1.9884,                 1.8377,                 2.8121,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.3572,                 1.4122,                 1.7065,                0.67738,                0.69412,                 0.6932,                0.33989,                  1.706,                 1.5343,                 2.4115,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.3219,                 1.3777,                 1.6804,                0.64771,                0.58491,                0.61994,                0.28716,                 1.9198,                 1.5219,                 2.4942,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.3094,                 1.3276,                 1.6633,                0.74181,                0.66694,                0.71515,                0.37871,                 1.7015,                 1.3862,                 2.2606,              0.0099208,              0.0099208,              0.0099208
