                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2082,                 2.1574,                 1.6436,                0.38125,                 0.4284,                0.32204,                0.08862,                 2.1213,                 3.5963,                 2.7929,             0.00065278,             0.00065278,             0.00065278
                      2,                 1.2329,                 1.7765,                 1.6574,                0.34443,                0.41004,                0.27849,                0.12067,                 1.7994,                 2.9834,                 2.7338,              0.0013064,              0.0013064,              0.0013064
                      3,                 1.3478,                 1.7119,                 1.7397,                0.01071,                0.02815,                0.00147,                 0.0004,                 4.3499,                 21.456,                 5.4344,              0.0019468,              0.0019468,              0.0019468
                      4,                 1.3474,                 1.6938,                 1.7539,                0.11813,                0.29643,                0.06803,                0.02267,                 2.4337,                 3.3178,                 3.2842,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3053,                 1.5939,                 1.7018,                0.52709,                0.41493,                0.45456,                0.18385,                 1.9327,                 2.1138,                 2.5248,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.2881,                 1.5652,                 1.6997,                0.64166,                0.57283,                 0.5856,                0.28744,                 1.5961,                 1.8326,                 2.2659,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.2467,                 1.4733,                 1.6567,                0.64214,                0.60832,                0.56727,                0.25434,                 1.7512,                 1.7364,                 2.2406,               0.001901,               0.001901,               0.001901
                      8,                 1.2099,                 1.4222,                 1.6266,                0.44507,                0.60098,                0.40617,                0.20754,                 1.8099,                 2.2295,                  2.583,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.1734,                 1.3905,                 1.6007,                0.65894,                0.66216,                0.64798,                0.34849,                 1.5435,                 1.7079,                 2.1059,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.1708,                 1.3533,                  1.592,                0.57476,                0.49135,                0.50593,                  0.235,                 1.7646,                 2.1095,                 2.1522,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.1459,                 1.3477,                 1.5856,                0.66142,                0.51647,                0.60394,                0.31789,                 1.6402,                 1.6767,                 2.0504,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.1474,                 1.3193,                 1.5835,                0.70631,                0.71359,                0.72093,                0.39258,                 1.4318,                 1.3671,                 1.9894,               0.001802,               0.001802,               0.001802
                     13,                 1.1253,                 1.3134,                 1.5597,                0.75446,                0.69767,                0.73566,                0.39282,                  1.454,                 1.4484,                 1.9528,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.1028,                 1.2674,                 1.5442,                0.76131,                 0.6949,                 0.7398,                0.38769,                 1.5101,                 1.5444,                 1.9523,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.1001,                 1.2437,                 1.5479,                 0.6846,                0.65973,                0.67705,                0.36611,                 1.4544,                 1.5324,                 2.0365,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.0909,                 1.2492,                 1.5316,                0.78087,                0.72404,                0.76919,                0.44291,                 1.3266,                 1.3993,                 1.8059,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.0714,                 1.2182,                 1.5246,                 0.7663,                0.71039,                0.74827,                 0.4201,                 1.3477,                 1.2927,                 1.8501,               0.001703,               0.001703,               0.001703
                     18,                 1.0734,                 1.2183,                 1.5184,                 0.8225,                0.74296,                0.79463,                0.46857,                 1.2994,                 1.2121,                 1.7602,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.0609,                 1.1919,                 1.5117,                0.69833,                0.74802,                   0.74,                0.41398,                 1.3302,                 1.3857,                 1.7947,              0.0016634,              0.0016634,              0.0016634
